Table Name in NetSuite2.com,Field ID in NetSuite2.com,Field Name in NetSuite2.com
transactionshippingaddressbookentityaddress,addr3,
transferordershippingaddress,addr3,
vendoraddressbookentityaddress,addr3,
vendorbillbillingaddress,addr3,
vendorcreditbillingaddress,addr3,
vendorpaymentpayeeaddress,addr3,
vendorprepaymentpayeeaddress,addr3,
vendorreturnauthorizationbillingaddress,addr3,
workplacemainaddress,addr3,
cashrefundbillingaddress,attention,
cashrefundshippingaddress,attention,
cashsalebillingaddress,attention,
cashsaleitemshippingaddress,attention,
cashsaleshippingaddress,attention,
checkpayeeaddress,attention,
companyaddressbookentityaddress,attention,
contactaddressbookentityaddress,attention,
creditmemobillingaddress,attention,
creditmemoitemshippingaddress,attention,
creditmemoshippingaddress,attention,
customeraddressbookentityaddress,attention,
customerrefundpayeeaddress,attention,
employeeaddressbookentityaddress,attention,
entityaddress,attention,
estimatebillingaddress,attention,
estimateitemshippingaddress,attention,
estimateshippingaddress,attention,
intercompanytransferordershippingaddress,attention,
invoicebillingaddress,attention,
invoiceitemshippingaddress,attention,
invoiceshippingaddress,attention,
itemfulfillmentreturnaddress,attention,
itemfulfillmentshippingaddress,attention,
jobaddressbookentityaddress,attention,
locationmainaddress,attention,
locationreturnaddress,attention,
mdrtestcheckpayeeaddress,attention,
mfgprojectaddressbookentityaddress,attention,
opportunitybillingaddress,attention,
opportunityshippingaddress,attention,
othernameaddressbookentityaddress,attention,
partneraddressbookentityaddress,attention,
purchaseorderbillingaddress,attention,
purchaseordershippingaddress,attention,
returnauthorizationbillingaddress,attention,
returnauthorizationshippingaddress,attention,
revenuecommitmentbillingaddress,attention,
revenuecommitmentreversalbillingaddress,attention,
revenuecommitmentreversalshippingaddress,attention,
revenuecommitmentshippingaddress,attention,
salesorderbillingaddress,attention,
salesorderitemshippingaddress,attention,
salesordershippingaddress,attention,
subsidiarymainaddress,attention,
subsidiaryreturnaddress,attention,
subsidiaryshippingaddress,attention,
transactionaddressmappingaddress,attention,
transactionbillingaddress,attention,
transactionbillingaddressbookentityaddress,attention,
transactionlineaddressmappinglineaddress,attention,
transactionpayeeaddressbookentityaddress,attention,
transactionreturnaddressbookentityaddress,attention,
transactionshippingaddress,attention,
